expiry,day_of_week
2026-03-24,Tuesday
2026-03-30,Monday
2026-04-07,Tuesday
2026-04-13,Monday
2026-04-21,Tuesday
2026-04-28,Tuesday
2026-05-26,Tuesday
2026-06-30,Tuesday
2026-09-29,Tuesday
2026-12-29,Tuesday
2027-06-29,Tuesday
2027-12-28,Tuesday
2028-06-27,Tuesday
2028-12-26,Tuesday
2029-06-26,Tuesday
2029-12-24,Monday
2030-06-25,Tuesday
2030-12-31,Tuesday
